Title,City,State,Country,URL,Industry,Source,Description,Listed By (Firm),Listed By (Name),Phone,Email,Price,Gross Revenue,Cash Flow,Inventory,EBITDA,Scraping Date,listing Date,Financial Data
Midwest Commercial Roofing Company In US For Sale,N/A,US,N/A,https://us.businessesforsale.com/us/midwest-commercial-roofing-company-in-us-for-sale.aspx,N/A,businessesforsale.com,"Long Term Clients


Well-established Midwest commercial roofing contractor with stable long-term clients.


Low employee attrition, outstanding reputation, and high profit margins.


Future growth opportunities are also very attainable for a new buyer.


The real estate is not included in the asking price, however, it is also available. Inventory is included in the asking price.


The seller will stay on for a reasonable transition period to ensure that the new owner is well-equipped to continue growing this company.",Synergy Business Brokers,N/A,N/A,N/A,"$10,900,000 


Inventory / Stock included","$44,294,000","$3,255,000",N/A,N/A,01/19/2024
Full-service Landscape Construction Business In Escambia County For Sale,Escambia County,Florida,US,https://us.businessesforsale.com/us/full-service-landscape-construction-business-in-escambia-county-for-sale.aspx,N/A,businessesforsale.com,"Gulf Coast Landscape Design/Construction & Maintenance company in business for over 40 years. The company based in the panhandle of Florida provides landscape design/build, irrigation, hardscapes, maintenance & Fert/Pest Control. The portfolio of clients/jobs ranges from commercial, municipal/government and high-end residential but the majority of their focus is commercial jobs. The 2023 annual sales (pro-forma) breaks down to 27% ($2.5M) Maintenance & 73% ($6.7M) Design/Installation. Sales have steadily increased every year with this year projecting to reach $9M-$10M. The company has a strong management team in place. The asking price includes $1M in assets and up to $750K in working capital. Cash buyers only - the seller is not willing to entertain any seller financing and there is no option for SBA financing. Please ask for Rick Wilson when inquiring about this listing.


*Use Reference ID: LDES-ILE",Landscape Depot Investments,N/A,N/A,N/A,"$6,750,000 


Furniture / Fixtures included","$9,102,578","$2,575,735",N/A,N/A,01/19/2024
"Commercial Burner & Boiler Service, Repair, And Installation In New York For Sale",N/A,New York,US,https://us.businessesforsale.com/us/commercial-burner-and-boiler-service-repair-and-installation-in-new-york-for-sale.aspx,N/A,businessesforsale.com,"Nearing completion of its third decade in business, this well-regarded firm offers wide-ranging services from commercial boiler/burner service, and repairs, to installation, testing and monitoring.


The company's commitment to providing outstanding customer service has been rewarded with many lucrative long-term contracts from various government agencies. Most recently, the firm was awarded a large 5-year contract with the Department of Education, virtually guaranteeing a new owner a 100% year-over-year increase in topline numbers!


Net to Owners $1,000,000+


Additionally, ownership has identified many other scaling opportunities that may be easily implemented to continue the growth trajectory including the introduction of a formal marketing plan. A dedicated and skilled technical and office staff together with a full complement of equipment complete this turnkey offering.


Owners are willing to consider an earnout with substantial cash at closing for a strategic buyer.",Synergy Business Brokers,N/A,N/A,N/A,"$5,000,000","$3,500,000",$500K - $2.5M,N/A,N/A,01/19/2024
High-profit Ar/Virtual Reality Technology Company In Connecticut For Sale,N/A,Connecticut,US,https://us.businessesforsale.com/us/high-profit-ar-virtual-reality-technology-company-in-connecticut-for-sale.aspx,N/A,businessesforsale.com,"Boutique-sized firm with deep expertise in gaming and application development in the CT area offered for immediate sale.


This industry leader boasts augmented and virtual reality technology, process, and expertise that can be made available for commercial scale with numerous potential applications. The company’s technology is currently live in-market with an animated Augmented Reality game, distributed on Apple iOS and Google Play stores, featuring a suite of fully developed AR and VR characters, valued at over $3M.


The business has several opportunities for turnkey growth, including enterprise sales and marketing solutions and innovative advertising experiences. Marketing efforts will drive growth across multiple revenue streams, and the company will support the new owner in creating additional games under the popular brand created. The sale also includes trademarks and other intellectual property.


Projected Revenue: $10,000,000+ within 4 years, with 70-80% EBITDA!

Projected Cash Flow: $7,000,000",Synergy Business Brokers,N/A,N/A,N/A,"$1,250,000",Over $5M,Over $2.5M,N/A,N/A,01/19/2024
Gabrella Manor - Wedding/Events Venue For Sale By Auction Feb 22 For Sale,Birmingham,Alabama,US,https://us.businessesforsale.com/us/gabrella-manor-wedding-events-venue-for-sale-by-auction-feb.aspx,N/A,businessesforsale.com,"ONLINE AUCTION – February 22nd at 11:00 am CT. Starting Bid $625,000. Please contact the auction company for questions and visit target auction dot com for more details.


We are thrilled to present a rare and lucrative opportunity for aspiring entrepreneurs or seasoned investors in the thriving wedding industry. Gabrella Manor, a renowned & successful full-service wedding venue, is being offered as a turn-key investment with immediate cash flow, seamlessly transitioning all existing bookings and clientele to the fortunate new owner.


Conveniently situated just north of the Birmingham airport within city limits, Gabrella Manor occupies a sprawling 5-acre estate. The property features a vintage and elegant 1938 Spanish Colonial Revival home, historically known as The Bundy House is adorned with a terra cotta roof & turreted entryway with patios and terraces. The interior features large rooms designed for entertaining, murals and stained-glass windows throughout, a grand staircase, arches and columns, tile flooring, and artistic tile scenes in fireplaces. Adjoining the home is an event pavilion, a charming arbor, a romantic courtyard, and ample on-site parking. The captivating natural landscape provides the perfect backdrop for unforgettable events.


Behind the scenes, Gabrella Manor boasts numerous workspace areas, fully equipped kitchens, and abundant storage areas, ensuring the seamless execution of successful events. The property has been under the same ownership for an impressive 26 years, a testament to its enduring success and impeccable reputation.


This is a unique opportunity to acquire a well-established business and income-producing property. The sellers are willing to stay on for a transition period and training to add even more value to this purchase.


Agents are welcome. Twelve percent buyer’s premium. ALAU #5060.



MLS Agent Remarks 

Terms: A 12% Buyer’s Premium will be added to the final bid to determine the Total Contract Price paid by the Purchaser. Our contingency-free contract must be executed by the purchaser immediately following the auction. The purchase terms are a 10% non-refundable down payment due by 4:00 pm CT the following day with the remaining balance due within 30 days. 

Property Tours: February 7, 11, 14, 17, 21 from 10 am until 3 pm CT. An appointment is REQUIRED.","Target Auction & LAnd Co., Inc.",N/A,N/A,N/A,"$1M - $5M 


Furniture / Fixtures and Inventory / Stock included",Available on request,$500K - $2.5M,N/A,N/A,01/19/2024
"Chain of 11 Vaping, Rolling, and Smoking Specialist Stores, OH & PA",N/A,"
","
Ohio & Pennsylvania
",https://us.businessesforsale.com/us/mergervault/chain-of-11-vaping-rolling-and-smoking-specialist-stores-oh-pa,N/A,businessesforsale.com,"Established 20yrsTrue absentee ownership opportunityOwners live out of state and rarely travel back to OH / PAAppointed GM manages warehouse and 11 retail stores23 Employees (including 3-mangers)Opportunity to scale the business selling tobacco (currently not sold in the store)Would suit entrepreneur who is well versed in latest vaping products, trends & tattoo supplies",N/A,N/A,N/A,N/A,None,$3.1m,N/A,N/A,N/A,01/19/2024,N/A,"$3.1m - Sales Revenue$300k+ - Net Income  Acquisition includes the Real Estate for all 11 retail stores that have recently undergone many upgrades. (A number of stores provide additional rental income from apartments above)$3m+ in InventoryAcquisition also includes the real estate for the warehouse, and two forward Ford transit vans List Price - $7.5m
"
Family Home Contractor Servicing Washington & Oregon! (37879) For Sale,N/A,Washington,US,https://us.businessesforsale.com/us/family-home-contractor-servicing-washington-and-oregon.aspx,N/A,businessesforsale.com,"Situated in Washington state, listing specializes in the construction of residential single-family custom homes using ‘face-to-face’ design sessions and site-selection services for clients seeking high-quality custom homes. Strong regional reputations and a high-quality focus with top ratings solidify stable sales of $50 million on average over the past half decade, reaching their best year ever of nearly $62 million in sales in 2022!


Going into 2024 with vast demands and lots to build on, company’s double-state certification allow for growth potential through guided expansions & partnerships, as Revenues in 2023 totaled $61,445,000 alongside discretionary earnings of $8,005,000. With no individual client making more than 3.2%, nor their Top Ten consumers summing over 12% of the annual income, company enjoys customer diversity and low risk reviews.


Experienced personnel of 28 nonunion employees include management in place and are most likely to remain post-sale and continue daily operations after a smooth transition period of three months. Besides a maintained website and engagement in socials like BuzzbuzzHome, Houzz, Pinterest, YouTube and others, advertising efforts center on backed referral sources from their large and recurring customer base.


Workplace measures 3,800 square feet and includes reception areas, a conference room, clerical offices, an employee kitchen, and ample storage; it’s found in excellent condition and zoned to handle additional capacity. Property is available for optional purchasing or long-term tenancy. New or additional premises could be beneficial for expanding into the first-time homebuyer market.


With excellent connections, limited owner involvement, and a solid revenue trend, property available to build on, and substantial contracts in place, this is an excellent opportunity!",IAG,N/A,N/A,N/A,"$39,000,000 


Furniture / Fixtures included","$61,445,000","$8,005,000",N/A,N/A,01/19/2024
Rv Business Being Sold Sellers Deteriorating Health For Sale,Corona,California - South,US,https://us.businessesforsale.com/us/rv-business-being-sold-sellers-deteriorating-health-for-sale.aspx,N/A,businessesforsale.com,"FOR SALE DUE TO SELLER’S DETERIORATING HEALTH PROBLEMS!!!!!


BUSINESS IS ON LONG TERM LEASE SO IT MUST BE PURCHASED AS A TOTAL RUNNING BUSINESS. IT CAN NOT BE PURCHASED IN PIECES!!!!


RIDICULOUS OFFERS WILL BE DELETED IMMEDIATELY!


Recession-resistant business operation:

• Approximately $30,000,000+ in CURRENT/NEW RV parts 
• Used RV Sale 
• Refurbished RV Sales 
• RV Service 
• Repair 
• Refurbishing 
• Remodeling 
• Painting 
• Storage 

Their new location has MAJOR frontage on Hwy 91 for signage!!!!!!


Their RV Parts Center is the premier supplier of RV parts and supplies, offering an extensive selection of RV parts and accessories for almost every need. Their very affordable collection of parts and services delivers the ultimate quality and satisfaction to RV lovers WORLDWIDE! They’ll ensure their customers that they will be prepared for their next RV adventure with their offering of a MASSIVE inventory of top-grade RV parts and accessories, including mirrors, a variety of door locks, water tanks, sinks and faucets, winterizing kits, and much more. Their service department is outstanding and well prepared for their customer’s needs and wants!!


The opportunity to expand this very profitably running business into a full dealership is very well within the range of realistic possibilities!!! Remember, they're already selling USED RVs!! They also refurbish old RVs and resell them at a GREAT profit!!!


Whatever you’re RV needs are, you can probably find it at this RV Parts and Service Center. Their knowledgeable Customer Service representatives can answer almost any questions and help you choose the right products for your needs. They make finding and buying RV parts easy, convenient and VERY affordable.


While they sell millions of dollars of RV parts, they do NOT have a website!! NO WEBSITE!! And still they sell and sell and sell and… Can you just imagine how much more they could sell with a solid, on-line presence!??!?!?!?! While they do have a very small “ebay” presence, the potential here is absolutely AMAZING!!!


The daily sales for this business are typically about 50% CASH and 50% check and credit card!!!!!

The daily sales for this business are typically about 50% CASH and 50% check and credit card!!!!! 
The daily sales for this business are typically about 50% CASH and 50% check and credit card!!!!! 
The daily sales for this business are typically about 50% CASH and 50% check and credit card!!!!! 

This business sells locally, nationally and internationally. But a strong web presence has the potential to dramatically accelerate sales!!!!!!!!!!!!!!!!!!!!


This is a TURN-KEY business!!! If you know this industry and are a good people-person/manage, you will have an unbeatable opportunity to do EXTREMELY well in this business.


Their current employees are VERY willing and VERY interested in continuing to work for the new buyer.


The Seller is also interested in working with the new buyer to assist in the buyer’s success!!


They currently have a very small on-line ebay store. Maybe 3% of their inventory. Therefore, the new buyer has an incredible growth opportunity for expansion, sales and PROFIT!!


They have never done advertising and still grow each and every year. But, with advertising, the businesses sales could double or triple or… How far do you want to take it? How much money do YOU want to make?


Touring this facility with the Seller will take you approximately one hour. Yes, it’s that big! Approximately 30,000 sf under roof with NEW parts inventory reaching almost to the warehouse’s ceiling!!! Plus, there are several additional outside acres they use for RV Repair, Service, Painting and RV Storage!


This is your incredibly-positive opportunity to buy approximately $30,000,000 in New RV parts for only a small fraction of their OEM prices. This allows you to resell them well under your competitor’s prices!!!! Just imaging the incredible breath of this opportunity. You can now sell NEW RV inventory below your comp","Corporate Entities, Inc",N/A,N/A,N/A,"$1M - $5M 


Furniture / Fixtures and Inventory / Stock included",$1M - $5M,$500K - $2.5M,"$30,000,000 - included in the asking price",N/A,01/19/2024
Crypto Expansive Atm Network Wallet And Pos For Sale,N/A,Florida,US,https://us.businessesforsale.com/us/crypto-expansive-atm-network-wallet-and-pos-for-sale.aspx,N/A,businessesforsale.com,"Operating across 40 states in the United States, this dynamic organization has established an extensive network of cryptocurrency ATMs. Beyond traditional transaction points, these ATMs serve as dynamic hubs for digital currency exchange.


At the core of this opportunity lies a diverse range of innovative products and services. A recently launched non-custodial virtual wallet app empowers users to conveniently manage their cryptocurrency holdings. Additionally, the organization is implementing new Point of Sale (POS) systems for hosts, enhancing the functionality and utility of its ATMs, ensuring a seamless user experience.


Sellers are open to diverse forms of financial engagement, providing investors with a range of options tailored to their strategic objectives. Whether it's strategic debt to fuel growth initiatives, minority stakes for those seeking a measured level of involvement, or a majority sale for investors desiring substantial influence.


DETAILS:


Established in 2016

Innovative Crypto ATMs in 40 States 
Great reputation and consumer satisfaction 
Industry leading software with high levels of adaptability 
Highly experienced and dedicated staff 
International expansion in progress 
Assembled and stored in Florida warehouse 

GROWTH OPPORTUNITIES:


Leverage global cryptocurrency adoption

Expand virtual wallet services 
White-labeled banking services 
New POS system for hosts 

Inquire for deal options and valuation to submit an IOI",Livmo,N/A,N/A,N/A,On request,"$104,000,000",Over $2.5M,N/A,N/A,01/19/2024
Unique Multi Unit Regional Theater And Entertainment Venue For Sale,N/A,New Hampshire,US,https://us.businessesforsale.com/us/unique-multi-unit-regional-theater-and-entertainment-venue-for-sale.aspx,N/A,businessesforsale.com,"Rare opportunity for this unique and profitable Multi-Unit Entertainment concept. This long established, well-run business has several locations. Current owners spared no expense with the build-out – these locations are turnkey and ready to go! This is a great opportunity for an experienced operator to take the business to the next level and grow the existing concept and brand into even more locations! This concept, suitable for patrons of all ages, provides an experience that people love and consistently come back to time and time again!


FACILITY: The facilities in all locations are well kept and in excellent locations

PARKING: Plenty of private Parking 
EQUIPMENT: The equipment is in excellent condition and has been well maintained 
CONCEPT: Entertainment and Theater Venues Full Liquor and Dining 
LEASE: All Leases are Assignable 
SIZE: Each Location varies in size from 26,000 sf to 47,000 sf 
SEATS: Seating varies per location from 580 to 1,250 seats 
HOURS: Open Daily 
LICENSES: Entertainment and Liquor 
SALES: $11,299,438 

ASKING PRICE: $6,200,000 (For the Business)",Corbett Restaurant Group,N/A,N/A,N/A,"$6,200,000","$11,299,438",$500K - $2.5M,N/A,N/A,01/19/2024
